consequent,antecedent,abs_support,%_support,confidence,lift
"HIGH_POP_CONF (0.656, 1.0]","('HIGH_ENER (0.829, 1.0]', 'HIGH_LIVE (0.204, 0.994]', 'HIGH_LOUD (-5.856, 0.643]')",99,4.465493910690121,0.4074074074074074,1.2222222222222223
"HIGH_POP_CONF (0.656, 1.0]","('HIGH_ENER (0.829, 1.0]', 'HIGH_LOUD (-5.856, 0.643]', 'HIGH_SPEE (0.0687, 0.901]')",114,5.142083897158322,0.4253731343283582,1.2761194029850746
"HIGH_POP_CONF (0.656, 1.0]","('HIGH_ENER (0.829, 1.0]', 'MID_DANC (0.504, 0.658]')",102,4.600811907983761,0.408,1.224
"HIGH_POP_CONF (0.656, 1.0]","('HIGH_LIVE (0.204, 0.994]', 'HIGH_SPEE (0.0687, 0.901]')",124,5.593143888137122,0.4232081911262799,1.2696245733788396
"HIGH_POP_CONF (0.656, 1.0]","('MID_INST (1.27e-05, 0.341]', 'HIGH_DURA (266593.667, 1149106.0]')",101,4.555705908885882,0.4139344262295082,1.2418032786885247
"HIGH_POP_CONF (0.656, 1.0]","('HIGH_LOUD (-5.856, 0.643]', 'HIGH_SPEE (0.0687, 0.901]')",140,6.314839873703202,0.40816326530612246,1.2244897959183674
"HIGH_POP_CONF (0.656, 1.0]","('MID_TEMP (109.759, 134.948]', 'LOW_INST (-0.001, 1.27e-05]')",96,4.330175913396482,0.4067796610169492,1.2203389830508475
