name,duration_ms,explicit,popularity,artists,album_name,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre
Sick Bubblegum,224266,True,32,Rob Zombie,Hellbilly Deluxe 2 (Standard Explicit),0.642,0.972,5,-3.047,0.0967,0.00152,2.39e-05,0.384,0.421,118.035,4.0,industrial
G Face,242560,True,23,Orgy,Talk Sick,0.647,0.913,2,-4.718,0.101,0.00302,0.0,0.406,0.572,128.976,4.0,industrial
Heart-Break,110640,False,0,Celldweller,FiXT Presents: Sinister Sounds,0.518,0.61,2,-6.141,0.0734,0.00158,0.8,0.111,0.0654,185.839,3.0,industrial
ØCULIST,231891,False,25,Area 11,SINGLARITY,0.527,0.812,5,-3.228,0.0359,0.0018,8.67e-06,0.0941,0.287,124.965,4.0,industrial
God's Gonna Cut You Down,160538,False,60,Marilyn Manson,God's Gonna Cut You Down,0.504,0.754,8,-5.182,0.0424,0.139,0.0,0.126,0.583,82.009,4.0,industrial
Bitch - Weil Mix by Substaat,246893,True,24,Apoptygma Berzerk;Substaat,SDGXXV,0.515,0.899,1,-7.393,0.0448,0.00808,0.479,0.0797,0.929,120.009,4.0,industrial
Hustle Bones,192360,True,54,Death Grips,The Money Store,0.6,0.982,4,-2.996,0.201,0.104,0.0,0.343,0.277,110.015,4.0,industrial
In Dreams,195786,False,24,Kittie,Until the End,0.103,0.819,0,-2.807,0.0462,7.26e-06,0.0732,0.0836,0.402,51.833,4.0,industrial
Cold,220400,False,0,Static-X,Post-Millennial Noise,0.457,0.962,0,-3.722,0.0495,0.000455,0.00271,0.319,0.721,150.039,4.0,industrial
OG!,95070,True,58,JPEGMAFIA,LP!,0.729,0.653,8,-4.601,0.105,0.00463,1.27e-06,0.471,0.35,92.573,4.0,industrial
Act Your Age,266626,False,23,Snake River Conspiracy,Sonic Jihad,0.615,0.976,9,-1.961,0.0673,0.257,0.0205,0.588,0.583,129.921,4.0,industrial
Open Eyed,282608,False,30,Skindred,Kill the Power,0.596,0.979,1,-2.929,0.0967,0.00521,0.000116,0.425,0.68,129.944,4.0,industrial
Locust,456320,False,52,Machine Head,Unto the Locust (Special Edition),0.352,0.956,7,-3.634,0.149,7.51e-05,0.0203,0.125,0.228,122.897,4.0,industrial
Same Drug,223200,True,25,Cold,13 Ways To Bleed Onstage,0.351,0.857,8,-5.539,0.0379,4.36e-05,2.68e-05,0.0857,0.382,141.986,4.0,industrial
"Over the Shoulder - 12"" Version",407333,False,22,Ministry,Twitch,0.626,0.998,8,-9.571,0.0484,0.0474,0.124,0.344,0.323,119.893,4.0,industrial
Corrosion,296506,False,28,Ministry,KE*A*H** (Psalm 69),0.185,0.921,3,-11.162,0.079,1.36e-05,0.398,0.762,0.13,97.944,4.0,industrial
Versus,253466,True,23,Area 11,Modern Synthesis,0.511,0.848,8,-6.544,0.042,0.00577,0.0,0.18,0.384,125.012,4.0,industrial
I Don't Wanna Be Me,308826,False,4,Type O Negative,Metal,0.473,0.977,8,-8.651,0.15,0.0243,0.604,0.0931,0.0449,100.552,4.0,industrial
Mi Queso,142689,False,19,Psychostick,... and Stuff,0.5,0.812,6,-6.01,0.0422,0.00189,7.37e-06,0.0685,0.402,134.008,4.0,industrial
Waiting to Die,194800,True,28,(Hed) P.E.,Broke,0.581,0.962,8,-5.964,0.121,0.000262,1.09e-05,0.132,0.484,115.226,4.0,industrial
Hysteria,244373,False,0,Priest,Cyberhead,0.489,0.787,1,-6.605,0.0345,6.53e-05,0.00154,0.635,0.371,127.99,4.0,industrial
Clap Your Hands - Dubstep Mix,309520,False,16,Drumsound & Bassline Smith,Clap Your Hands,0.564,0.953,10,-4.105,0.0575,0.0527,0.00532,0.579,0.066,140.013,4.0,industrial
All I Ask For,219813,False,0,Ill Niño,Post-Millennial Noise,0.47,0.919,8,-3.5,0.0627,3.38e-05,0.111,0.136,0.514,136.354,4.0,industrial
Du hast,234226,False,74,Rammstein,Sehnsucht,0.64,0.922,9,-6.283,0.0385,0.00369,0.055,0.332,0.716,125.105,4.0,industrial
With Your Cries,179266,False,22,Front 242,Geography (2004),0.829,0.951,2,-2.663,0.12,0.323,0.453,0.304,0.239,115.961,4.0,industrial
Dressed In Decay,195933,False,29,CKY,An Ånswer Can Be Found,0.447,0.865,9,-6.056,0.039,4.07e-05,0.1,0.321,0.597,118.382,4.0,industrial
Soul Parasites,216684,False,33,Celldweller,Satellites,0.555,0.792,1,-4.581,0.0558,7.16e-05,2.95e-06,0.09,0.786,92.0,3.0,industrial
Tanzbefehl,286066,False,22,Funker Vogt,Code of Conduct,0.631,0.925,0,-5.48,0.0436,0.123,0.0783,0.129,0.724,121.048,4.0,industrial
The Son Of X-51,178200,False,30,Powerman 5000,Tonight The Stars Revolt,0.52,0.908,8,-5.617,0.165,0.00302,0.00503,0.279,0.429,134.074,4.0,industrial
Devotion (ft. Cameron Hayes),190344,False,50,Dimension;Cameron Hayes,Devotion (ft. Cameron Hayes),0.456,0.987,5,-0.756,0.0887,0.0134,0.0273,0.0469,0.306,173.971,4.0,industrial
Beast,306720,False,29,KMFDM,Nihil,0.512,0.863,0,-5.068,0.04,7.19e-06,0.187,0.204,0.279,119.859,4.0,industrial
The Ghost of Vincent Price,308026,False,25,Wednesday 13,Transylvania 90210,0.384,0.974,0,-2.901,0.0612,3.83e-06,0.789,0.0673,0.288,97.758,4.0,industrial
They Are The Munsters,186880,False,14,Rob Zombie,The Munsters (Original Motion Picture Soundtrack),0.524,0.838,9,-6.724,0.0305,0.00721,0.145,0.497,0.637,135.117,4.0,industrial
Crashing Foreign Cars,151120,False,49,Helmet,Size Matters,0.533,0.965,5,-3.371,0.084,9.88e-05,0.0,0.247,0.34,94.88,4.0,industrial
Zeit,321686,False,69,Rammstein,Zeit,0.55,0.569,7,-7.683,0.0462,0.132,1.47e-05,0.174,0.0518,123.179,4.0,industrial
