name,duration_ms,explicit,popularity,artists,album_name,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre
Anyway,274297,False,17,Sharyn,In Full Bloom,0.541,0.31,11,-9.523,0.0479,0.813,3.66e-05,0.308,0.324,137.956,4.0,afrobeat
Entendiendo la Mente Humana,325999,False,2,Ondas Delta,Relajación Absoluta con Ondas Delta: Musicoterapia para Encontrar la Paz Interior,0.136,0.0671,2,-25.522,0.0494,0.989,0.968,0.105,0.0384,72.815,4.0,afrobeat
Yègellé Tezeta,194293,False,57,Mulatu Astatke,New York - Addis - London: The Story of Ethio Jazz 1965-1975,0.839,0.233,3,-13.539,0.0413,0.745,0.747,0.105,0.777,125.597,4.0,afrobeat
Wake (Studio),254946,False,49,Hillsong Young & Free;TAYA,We Are Young & Free,0.531,0.673,4,-4.753,0.0325,0.000362,0.0,0.462,0.261,130.997,4.0,afrobeat
Canto para Siempre,319077,False,13,Juanafé;Carmen Lienqueo,Parrilladas Vargas (Vol. II),0.43,0.829,4,-9.146,0.162,0.0845,0.0,0.112,0.445,141.277,3.0,afrobeat
Não Existe Amor em SP - Instrumental,282093,False,10,Criolo,Nó na Orelha (Instrumental),0.76,0.35,5,-9.481,0.0336,0.0263,0.868,0.0767,0.31,141.988,4.0,afrobeat
Warbé,291226,False,11,Ali Farka Touré;Toumani Diabaté,Ali & Toumani,0.601,0.247,4,-17.785,0.045,0.938,0.872,0.363,0.373,148.516,4.0,afrobeat
More Mess on My Thing,252000,False,21,The Poets Of Rhythm,Practice What You Preach,0.542,0.869,0,-6.18,0.0954,0.225,0.891,0.0453,0.962,190.509,4.0,afrobeat
Reflertar,198722,False,16,Samuca e a Selva,Ditados Populares Dançantes,0.663,0.478,0,-8.649,0.0279,0.114,0.000515,0.124,0.386,149.957,4.0,afrobeat
Best Friends - Live,206741,False,42,Hillsong Young & Free,All Of My Best Friends,0.502,0.772,11,-6.814,0.0315,0.0446,0.0,0.714,0.528,75.024,4.0,afrobeat
Yakuba,194813,False,21,Whitefield Brothers,In The Raw,0.809,0.946,6,-4.464,0.0617,0.192,0.798,0.0577,0.911,90.73,4.0,afrobeat
Oya,323291,False,0,Metá Metá,MetaL MetaL,0.44,0.742,4,-5.234,0.124,0.227,0.000159,0.399,0.368,129.169,3.0,afrobeat
Criado Mudou,127960,False,23,BaianaSystem,Oxeaxeexu,0.549,0.704,4,-7.025,0.0399,0.58,0.0222,0.13,0.112,133.986,4.0,afrobeat
Cerca del mar,222040,False,24,Jorge Drexler,Vaivén,0.749,0.391,7,-16.177,0.0767,0.603,3.66e-06,0.116,0.351,96.035,4.0,afrobeat
Afobado Peito Altivo,361001,False,0,Samuca e a Selva,Madurar,0.424,0.754,4,-6.66,0.0327,0.0799,1.27e-06,0.105,0.883,100.955,4.0,afrobeat
Locataire,223480,False,30,Vaudou Game,Kidayu,0.743,0.872,9,-9.258,0.0438,0.195,0.834,0.112,0.89,118.904,4.0,afrobeat
I Have This Hope,204800,False,54,Tenth Avenue North,Followers,0.422,0.336,0,-7.199,0.0306,0.199,0.0,0.189,0.11,108.009,4.0,afrobeat
Alfazema Y Guiné (feat. Guinu),118388,False,23,Zé Bigode Orquestra;Guinu,Clube da Fumaça,0.875,0.761,6,-5.556,0.0576,0.162,0.0,0.256,0.912,129.911,4.0,afrobeat
Kaiso Noir (Bonus Track),240464,False,16,Bacao Rhythm & Steel Band,Expansions,0.815,0.618,4,-8.167,0.0515,0.0231,0.824,0.142,0.964,119.882,4.0,afrobeat
Capucha,174680,False,28,BaianaSystem;Claudia Manzo,Oxeaxeexu,0.736,0.938,2,-4.176,0.156,0.168,5.29e-05,0.215,0.561,104.981,4.0,afrobeat
Smoke Gets In...,222906,False,1,The Budos Band,The Budos Band EP,0.513,0.347,9,-13.798,0.0293,0.000155,0.894,0.0895,0.279,107.468,4.0,afrobeat
After Laughter Comes Tears,284102,False,14,The Dynamics,After Laughter Comes Tears,0.791,0.358,0,-12.384,0.0645,0.291,0.00644,0.156,0.78,83.007,4.0,afrobeat
Reggae Rock,117733,False,34,Jackie Mittoo,The Keyboard King at Studio One,0.752,0.451,5,-9.922,0.0544,0.368,0.396,0.124,0.886,81.468,4.0,afrobeat
Exu,107624,False,0,Metá Metá,MetaL MetaL,0.643,0.507,2,-6.524,0.0511,0.927,0.854,0.0736,0.611,116.743,4.0,afrobeat
La Dormida,156721,False,18,Juanafé,Afrorumba Chilenera,0.618,0.491,8,-9.164,0.0893,0.41,0.000399,0.104,0.659,89.827,4.0,afrobeat
Yerberito,298293,False,15,Manu Dibango;Cuarteto Patria,Cubafrica,0.697,0.723,8,-6.606,0.0303,0.198,0.00058,0.0807,0.895,124.604,4.0,afrobeat
Plus Plus,306160,False,0,The Poets Of Rhythm,Discern / Define,0.723,0.722,0,-7.085,0.0708,0.0218,0.686,0.219,0.604,95.558,4.0,afrobeat
Ocho Rios,155306,False,22,El Michels Affair,Sounding Out the City,0.775,0.688,7,-7.105,0.0471,0.0791,0.847,0.129,0.529,94.62,4.0,afrobeat
"Fight On, Fighter",218106,False,55,for KING & COUNTRY,Burn The Ships,0.616,0.641,1,-6.696,0.0354,0.0104,0.0,0.0813,0.134,107.979,4.0,afrobeat
Asi No Se Puede Muchaches,240640,False,17,Romperayo,Asi No Se Puede Muchaches,0.736,0.885,6,-5.579,0.0485,0.0684,0.822,0.0923,0.832,112.01,4.0,afrobeat
Panela,173413,False,32,BaianaSystem;As Ganhadeiras de Itapuã,Duas Cidades,0.666,0.761,7,-5.472,0.0926,0.000143,0.712,0.112,0.797,143.035,4.0,afrobeat
Freak Out,136000,False,47,Jackie Mittoo,Soul Jazz Records Presents Studio One Story,0.715,0.635,11,-9.616,0.0471,0.0241,0.191,0.276,0.956,79.255,4.0,afrobeat
Coragem,268181,False,16,Samuca e a Selva,Coragem,0.802,0.644,9,-6.115,0.0511,0.0866,2.38e-06,0.529,0.813,124.029,4.0,afrobeat
O Guarani,221506,False,32,Orquestra Brasileira de Música Jamaicana,Volume I,0.683,0.783,6,-7.155,0.0438,0.0941,0.84,0.104,0.634,141.94,4.0,afrobeat
Esto Con Eso,250080,True,26,Calle 13,Los De Atrás Vienen Conmigo,0.659,0.74,7,-6.524,0.198,0.108,0.0,0.115,0.91,190.001,4.0,afrobeat
This Is Living (Acoustic),267733,False,44,Hillsong Young & Free;Alexander Pappas;Melodie Wagner,This Is Living,0.658,0.293,10,-8.857,0.0303,0.852,0.0,0.102,0.186,119.981,4.0,afrobeat
Barbatana,142226,False,24,BaianaSystem,Oxeaxeexu,0.558,0.778,0,-6.747,0.0304,0.000658,0.663,0.134,0.385,131.049,4.0,afrobeat
Build Your Kingdom Here,257959,False,58,Rend Collective,Homemade Worship by Handmade People,0.456,0.508,2,-14.339,0.0402,0.0218,0.0,0.237,0.553,133.965,4.0,afrobeat
The Wilhelm Scream,268040,False,24,The Bamboos;Meg Washington,The Best of the Tru Thoughts Years,0.566,0.621,7,-5.62,0.0263,0.00773,0.0323,0.257,0.402,150.033,4.0,afrobeat
Darker Shade of Black,194293,False,37,Jackie Mittoo,The Keyboard King at Studio One,0.689,0.564,6,-7.276,0.126,0.149,0.941,0.0909,0.758,87.474,4.0,afrobeat
Alive Again - Live In Manila,252149,False,51,Planetshakers,Legacy (Live),0.561,0.925,1,-5.77,0.0566,0.000184,0.0119,0.606,0.614,126.019,4.0,afrobeat
Baba Hya - Remastered,329365,False,18,Lafayette Afro Rock Band,Malik,0.436,0.915,7,-5.147,0.151,0.405,0.88,0.0748,0.776,88.39,4.0,afrobeat
Monster Truck,258160,False,28,Plastilina Mosh,Aquamosh,0.583,0.932,4,-7.734,0.0762,0.00208,0.0119,0.0674,0.492,96.899,4.0,afrobeat
Aquecimento Caboclo Roxo,479204,False,21,Foli Griô Orquestra;DJ Vinimax;Cebolinha do Passinho,Aquecimento Caboclo Roxo,0.633,0.79,9,-7.266,0.102,0.42,0.473,0.064,0.867,127.623,4.0,afrobeat
Llegaste Tarde,416040,False,25,Los Amigos Invisibles,Arepa 3000,0.49,0.82,5,-7.138,0.0684,0.799,0.0558,0.131,0.854,102.572,4.0,afrobeat
Kana Kassy,250013,False,9,Ali Farka Touré;Toumani Diabaté,Ali & Toumani,0.583,0.44,11,-8.75,0.0313,0.803,0.813,0.105,0.594,101.799,4.0,afrobeat
Tema Di Malaika,247693,False,30,Bixiga 70,Bixiga 70 (2011),0.689,0.886,8,-8.548,0.0462,0.563,0.897,0.0744,0.884,107.983,4.0,afrobeat
Terapia,261400,False,45,BaianaSystem,Terapia,0.79,0.814,9,-6.358,0.0268,0.243,0.0102,0.528,0.914,124.03,4.0,afrobeat
EMOTIONS,253815,False,21,Jor'dan Armstrong,CHURCH GIRLS LOVE R&B,0.484,0.572,10,-6.248,0.106,0.245,0.0,0.177,0.397,138.342,4.0,afrobeat
Soukora (with Ry Cooder),365173,False,13,Ali Farka Touré,Talking Timbuktu,0.431,0.328,3,-17.312,0.0327,0.503,0.00107,0.347,0.695,90.316,4.0,afrobeat
Majesty (Here I Am),366893,False,33,Hillsong Worship;Delirious?,[UP] UNIFIED:PRAISE (Live),0.501,0.641,1,-7.683,0.0265,0.00111,1.26e-06,0.0686,0.281,142.062,4.0,afrobeat
Aprendendo a Sobreviver,212826,False,22,Criolo,Sobre Viver,0.817,0.619,5,-6.922,0.0542,0.263,0.00317,0.0889,0.614,103.041,4.0,afrobeat
God Got Me,175856,False,20,Jor'dan Armstrong,God Got Me,0.787,0.726,7,-5.637,0.164,0.0719,0.00313,0.087,0.407,107.024,4.0,afrobeat
Tristeza Não,134008,False,1,Metá Metá,MetaL MetaL,0.719,0.202,11,-9.86,0.0593,0.819,0.000266,0.0692,0.806,75.073,4.0,afrobeat
Shampoo,139133,False,41,Plastilina Mosh,Juan Manuel,0.716,0.509,2,-6.926,0.0753,0.683,0.891,0.0884,0.374,170.117,4.0,afrobeat
Glorioso Eres Tú,264906,False,40,Jesus Culture;Kim Walker-Smith,Esto Es Jesus Culture,0.553,0.604,6,-6.67,0.0366,0.0341,0.0,0.106,0.114,108.055,3.0,afrobeat
Baie de Sangareya,254106,False,18,The Shaolin Afronauts,Follow the Path,0.605,0.74,5,-7.875,0.0385,0.0772,0.911,0.194,0.745,102.605,4.0,afrobeat
Naranjada,216933,False,26,Plastilina Mosh,Hola Chicuelos,0.739,0.886,7,-5.927,0.12,0.553,0.0112,0.307,0.814,145.02,4.0,afrobeat
Femme africaine,224568,False,14,Star Feminine Band,Star Feminine Band,0.517,0.834,2,-6.918,0.0676,0.13,0.627,0.0894,0.871,113.778,3.0,afrobeat
The Passion (Live Acoustic) - Bonus,238333,False,39,Hillsong Worship;Brooke Ligertwood;Jad Gillies,There Is More,0.437,0.413,0,-9.602,0.03,0.283,0.0,0.252,0.17,69.825,4.0,afrobeat
Agente Russo,311453,False,32,Nomade Orquestra;Russo Passapusso,"Vox Populi, Vol. 1",0.724,0.902,7,-6.758,0.0322,0.102,0.000205,0.386,0.385,122.023,4.0,afrobeat
Cara E' Pasmao',202346,False,19,Los Amigos Invisibles,El Paradise,0.715,0.925,5,-3.932,0.0316,0.0155,0.0779,0.158,0.898,103.006,4.0,afrobeat
Magic Fever,291373,False,20,Plastilina Mosh,Hola Chicuelos,0.61,0.808,6,-5.957,0.0549,0.0952,0.44,0.362,0.556,137.086,4.0,afrobeat
Raggaxixe,146813,False,0,Thiago França,A Espetacular Charanga do França,0.72,0.73,5,-6.385,0.0814,0.28,0.276,0.0392,0.773,93.414,4.0,afrobeat
Lucro/Descomprimindo - Mulú Remix,190066,False,21,BaianaSystem;Mulú,Outras Cidades,0.853,0.607,9,-7.932,0.138,0.00186,0.00339,0.0897,0.187,104.984,4.0,afrobeat
Rejoice,175072,False,20,Oba Reengy;Yoski,Rejoice,0.55,0.557,8,-6.875,0.0987,0.0623,0.000231,0.154,0.439,111.383,4.0,afrobeat
Invisível,195040,False,41,BaianaSystem,Invisível,0.725,0.618,9,-9.842,0.046,0.325,0.000133,0.384,0.479,112.681,5.0,afrobeat
Dueña de Mi,183213,False,25,La Misa Negra,La Misa Negra,0.587,0.686,9,-5.113,0.122,0.00428,0.00705,0.0428,0.71,183.938,4.0,afrobeat
"Latinoamérica (feat. Totó la Momposina, Susana Baca & Maria Rita)",301426,False,65,Calle 13;Totó La Momposina;Susana Baca;Maria Rita,Entren Los Que Quieran,0.691,0.805,2,-6.81,0.0947,0.59,0.0,0.0975,0.866,142.503,3.0,afrobeat
Nasty Hats,218226,False,21,Orgone,Orgone,0.745,0.82,7,-7.176,0.0449,0.0177,0.607,0.104,0.962,93.978,4.0,afrobeat
Papaya,201116,False,22,QUITAPENAS,QUITAPENAS,0.568,0.901,2,-5.337,0.0983,0.0894,0.000215,0.184,0.745,78.567,4.0,afrobeat
Llueve,249333,False,23,Jorge Drexler,Llueve,0.4,0.471,9,-9.494,0.0641,0.193,0.00031,0.131,0.0765,64.502,3.0,afrobeat
Road Song,180226,False,53,Ikebe Shakedown,The Beast / Road Song,0.63,0.735,2,-7.682,0.0346,0.464,0.8,0.0817,0.727,106.589,4.0,afrobeat
Nowa - Radio Edit,218087,False,23,The Bongo Hop;Maikcel,"Satingarona, Vol. 1",0.742,0.919,11,-6.173,0.0724,0.3,2.92e-05,0.0303,0.96,99.906,4.0,afrobeat
Engasga Gato,161000,False,1,Kiko Dinucci e Bando Afro Macarrônico,Pastiche Nago,0.799,0.606,0,-10.782,0.113,0.439,8.24e-06,0.168,0.845,114.941,4.0,afrobeat
The Endless War,252466,False,23,Impaled Nazarene,All That You Fear,0.401,0.938,9,-4.99,0.0533,2.02e-06,0.787,0.454,0.316,89.176,4.0,black-metal
Forces Of Hades,137760,True,18,Cruel Force,The Rise Of Satanic Might,0.156,0.997,1,-5.26,0.22,1.45e-06,0.384,0.0682,0.0594,148.712,4.0,black-metal
Ewigkeit,425493,False,17,Der Weg einer Freiheit,Der Weg einer Freiheit,0.392,0.776,11,-5.793,0.0507,2.27e-06,0.899,0.078,0.215,114.964,4.0,black-metal
Everyday I Must Suffer!,257413,False,19,Carpathian Forest,Fuck You All,0.307,0.981,8,-5.591,0.0799,1.58e-06,0.819,0.207,0.227,77.526,4.0,black-metal
Angel Flesh Impaled,353880,False,19,Dark Funeral,Attera Totus Sanctus,0.361,0.974,6,-5.733,0.122,1.04e-06,0.928,0.0971,0.0524,140.055,4.0,black-metal
Controlled By Fear,148411,False,19,Toxic Holocaust,Primal Future: 2019,0.498,0.92,2,-6.373,0.0389,0.00309,0.00382,0.119,0.483,92.517,4.0,black-metal
Punish Them,217773,False,20,Anaal Nathrakh,Endarkenment,0.193,0.696,6,-4.937,0.0907,1.06e-06,0.789,0.227,0.0737,170.061,4.0,black-metal
Long Live Our Lifeless King,535133,False,17,Xanthochroid,Blessed He With Boils,0.271,0.815,9,-7.045,0.06,0.00013,0.105,0.412,0.11,126.994,4.0,black-metal
Precious Blood of Christ Rebuked,286466,False,14,Devil Master,Ecstasies Of Never Ending Night,0.206,0.942,3,-7.241,0.0775,4.75e-06,0.909,0.485,0.243,92.023,4.0,black-metal
Crosstitution,198000,False,18,Bathory,Requiem,0.547,0.809,11,-8.466,0.0404,1.22e-06,0.828,0.228,0.206,115.104,4.0,black-metal
Intro - The Way of Cain,78876,False,19,Antichrist Siege Machine,Purifying Blade,0.207,0.733,1,-12.181,0.0671,0.375,0.731,0.649,0.32,88.287,4.0,black-metal
Wielki Mizogin,194821,True,18,Odraza,Esperalem Tkane,0.239,0.982,6,-5.466,0.186,0.000128,0.0102,0.729,0.12,159.926,4.0,black-metal
Cicha 8,74451,False,20,Odraza,Esperalem Tkane,0.518,0.848,2,-10.933,0.0561,0.00473,0.278,0.411,0.367,119.923,3.0,black-metal
My Northern Heart,385714,False,17,Wormwood,Arkivet,0.308,0.901,2,-5.85,0.0607,0.000334,5.94e-05,0.0842,0.131,196.059,4.0,black-metal
Terminal Odyssey,356343,False,3,Imperialist,Zenith,0.177,0.933,4,-6.358,0.0576,1.76e-06,0.845,0.185,0.0922,114.988,3.0,black-metal
Between Walls of Glass,523351,False,20,Mord'a'Stigmata,Dreams of Quiet Places,0.248,0.534,6,-8.27,0.0523,0.0438,0.633,0.119,0.0357,113.97,4.0,black-metal
Quintessence,456906,False,48,Darkthrone,Panzerfaust,0.156,0.737,7,-5.273,0.0512,0.00393,0.000185,0.122,0.275,134.091,4.0,black-metal
Kaiku,499986,False,7,Moonsorrow,Verisäkeet,0.266,0.0887,9,-20.274,0.0585,0.0233,0.0889,0.465,0.0664,88.5,4.0,black-metal
Lift,313360,False,48,Poets of the Fall,Signs of Life,0.483,0.872,11,-5.088,0.0383,0.0171,0.00131,0.0851,0.733,153.986,4.0,black-metal
Dr Duschanka,264499,False,17,LIK,Carnage,0.147,0.992,11,-4.652,0.0941,3.62e-06,0.0111,0.548,0.123,157.405,4.0,black-metal
The Well,267399,True,18,Rose Funeral,Crucify Kill Rot,0.307,0.994,4,-5.256,0.159,7.68e-06,0.545,0.206,0.0648,114.398,4.0,black-metal
Adils fall,294933,False,22,Månegarm,Ynglingaättens Öde,0.456,0.93,2,-3.798,0.0515,9.53e-05,0.000171,0.457,0.54,155.98,3.0,black-metal
Iron Cage,241981,False,24,Toxic Holocaust,Primal Future: 2019,0.401,0.984,5,-3.445,0.0859,1.69e-05,0.00811,0.0976,0.277,162.044,4.0,black-metal
Unchain My Soul,320435,False,43,Dark Funeral,Where Shadows Forever Reign,0.421,0.999,4,-5.51,0.106,2.91e-05,0.167,0.0877,0.0271,114.076,4.0,black-metal
Versvs Christvs,389927,False,37,Behemoth,Opvs Contra Natvram,0.207,0.883,1,-4.929,0.0722,0.000148,0.0124,0.071,0.142,181.908,4.0,black-metal
Ov My Herculean Exile,283791,True,40,Behemoth,Opvs Contra Natvram,0.411,0.937,4,-5.001,0.0571,1.94e-05,0.0245,0.153,0.225,110.972,3.0,black-metal
Witness The Earth Descend,267000,True,19,Sarastus,Enter The Necropolis,0.259,0.948,0,-7.112,0.0498,3.2e-06,0.289,0.232,0.26,160.021,3.0,black-metal
Bartzabel,301285,False,49,Behemoth,I Loved You at Your Darkest,0.468,0.913,6,-5.67,0.072,0.0265,0.0769,0.0787,0.187,109.003,4.0,black-metal
Nattens Barn,355605,False,18,Myrkur,Myrkur,0.103,0.846,9,-4.866,0.108,0.00814,0.000539,0.0511,0.0588,91.081,5.0,black-metal
Vicarious,426680,False,66,TOOL,"10,000 Days",0.506,0.877,0,-5.73,0.032,5.16e-05,0.776,0.0712,0.302,114.589,5.0,black-metal
Which Way,332080,False,19,Graveworm,(N)Utopia,0.409,0.993,3,-1.943,0.112,1.31e-05,0.683,0.149,0.0693,114.983,4.0,black-metal
The Soul Receiver,271493,False,26,Old Man's Child,In Defiance of Existence,0.414,0.922,2,-5.348,0.0377,4.17e-06,0.802,0.125,0.277,139.93,4.0,black-metal
Desperate Shadow,180913,False,16,Devil Master,Satan Spits on Children of Light,0.0758,0.994,9,-5.11,0.118,1.92e-06,0.814,0.178,0.0732,178.263,4.0,black-metal
Steampop,212246,False,21,Gruzja,Vulgator (Priest Simulator Ost),0.482,0.942,7,-5.292,0.175,7.86e-05,0.00237,0.509,0.401,149.947,4.0,black-metal
Vildmarkens Fortrollande Stammer,249613,False,20,Vintersorg,Till Fjalls,0.164,0.902,0,-8.848,0.0662,0.000129,4.97e-06,0.267,0.332,154.731,1.0,black-metal
Oiseaux de proie,468226,False,40,Alcest,Kodama,0.233,0.619,8,-8.78,0.0337,5.94e-05,0.801,0.24,0.139,114.298,4.0,black-metal
Mourning Palace,313360,False,51,Dimmu Borgir,Enthrone Darkness Triumphant,0.167,0.932,6,-5.22,0.0828,1.57e-05,0.772,0.0962,0.221,129.093,3.0,black-metal
Sokrates Must Die,208798,False,19,Vreid,Lifehunger,0.27,0.968,9,-5.351,0.104,2.02e-06,0.101,0.336,0.201,168.024,4.0,black-metal
Chainsaw Gutsfuck,212760,True,53,Mayhem,Deathcrush,0.249,0.828,3,-10.821,0.0685,3.04e-06,0.951,0.112,0.279,120.23,5.0,black-metal
Once Upon A Pale Horse,256785,True,44,Behemoth,Opvs Contra Natvram,0.528,0.93,1,-4.43,0.0575,9.04e-06,0.115,0.134,0.202,99.978,4.0,black-metal
De Doden Hebben Het Goed,413226,False,20,Wiegedood,De Doden Hebben Het Goed,0.201,0.979,8,-2.909,0.159,5.72e-05,0.949,0.113,0.0244,132.731,4.0,black-metal
Knochentorte,253413,False,19,Eisregen,Fegefeuer,0.516,0.92,3,-3.986,0.0604,0.000373,7.98e-06,0.156,0.406,79.996,4.0,black-metal
I Wish I Was There While the Sun Set,329866,False,18,Astronoid,Astronoid,0.382,0.959,0,-7.347,0.0802,5.63e-06,0.84,0.381,0.157,160.004,4.0,black-metal
The Blood-Dimmed Tide,200920,True,0,Anaal Nathrakh,Vanitas,0.292,0.67,6,-2.811,0.133,3.66e-05,0.315,0.326,0.0972,129.871,4.0,black-metal
Maha-Kali,366333,False,39,Dissection,Reinkaos,0.571,0.853,1,-4.733,0.0303,3.37e-05,0.126,0.0919,0.648,109.019,4.0,black-metal
Necromansy,214853,True,20,Cruel Force,The Rise Of Satanic Might,0.385,0.964,11,-5.585,0.041,4.03e-06,0.0161,0.086,0.519,98.403,4.0,black-metal
"Total War, Winter War",226826,False,18,Impaled Nazarene,Suomi Finland Perkele & Motorpenis,0.281,0.972,6,-7.415,0.115,1.47e-05,0.0269,0.0676,0.0554,124.823,4.0,black-metal
In the Minds of Evil,233048,False,48,Deicide,In the Minds of Evil,0.535,0.889,10,-5.547,0.0533,9.92e-05,0.41,0.329,0.327,97.493,4.0,black-metal
Dream House,554573,False,49,Deafheaven,Sunbather,0.1,0.804,7,-4.669,0.0768,6.84e-06,0.916,0.384,0.0954,82.211,4.0,black-metal
Gloria Ablaze,271242,False,19,Kampfar,Profan,0.383,0.992,2,-5.072,0.142,4.14e-06,0.9,0.246,0.0348,140.019,4.0,black-metal
Leblos,234013,True,31,Eisregen,Leblos,0.458,0.963,11,-5.455,0.0623,2.4e-05,2.31e-05,0.156,0.607,74.991,4.0,black-metal
Progenies of the Great Apocalypse,317800,False,50,Dimmu Borgir,Death Cult Armageddon,0.11,0.939,3,-3.975,0.104,0.000391,0.35,0.145,0.097,88.58,5.0,black-metal
A Celebration For The Death Of Man... (2016 - Remaster),144347,False,12,Agalloch,The Mantle,0.539,0.549,2,-9.73,0.0322,0.315,0.946,0.125,0.235,115.101,4.0,black-metal
Dreadful Discovery,239933,False,17,Mortuary Drape,Tolling 13 Knell,0.255,0.982,8,-4.369,0.164,0.00013,0.1,0.361,0.0424,97.61,4.0,black-metal
Forged In Fire,215240,False,22,Winds of Plague,The Great Stone War,0.415,0.997,11,-2.615,0.151,5.13e-05,0.000697,0.363,0.142,149.967,4.0,black-metal
Rockemillion,128039,False,16,Isengard,Vårjevndøgn,0.157,0.94,11,-7.582,0.0966,0.00159,0.905,0.445,0.238,155.425,4.0,black-metal
A Glimpse of the Sky,176431,False,19,Mörk Gryning,Hinsides Vrede,0.13,0.941,2,-8.255,0.0953,5.23e-06,0.89,0.106,0.291,179.918,3.0,black-metal
Garden of Peace,205413,False,15,Therion,Beloved Antichrist,0.388,0.578,0,-8.897,0.0287,0.000513,0.351,0.122,0.22,88.006,3.0,black-metal
Graveyard Slut,243626,True,19,Darkthrone,The Cult is Alive,0.0658,0.993,9,-2.484,0.164,0.000697,0.217,0.317,0.107,199.986,4.0,black-metal
Nightside,237800,False,9,Witchery,Nightside,0.422,0.811,0,-6.974,0.0429,0.0102,0.0374,0.0781,0.212,135.832,4.0,black-metal
Skoll,188253,False,17,Istapp,Frostbiten,0.342,0.929,11,-6.341,0.059,2.19e-06,0.0256,0.178,0.061,99.929,4.0,black-metal
Gods To The Godless,467440,False,16,Primordial,Spirit The Earth Aflame,0.198,0.956,7,-5.339,0.064,5.21e-06,0.621,0.169,0.216,114.183,4.0,black-metal
Spell of Death,169160,False,2,Christ Agony,Trilogy,0.483,0.714,2,-10.79,0.0359,7.17e-06,0.88,0.318,0.0419,120.046,4.0,black-metal
Napalm in the Morning (2021 - Remaster),356973,False,10,Sodom,M-16 (20th Anniversary Edition),0.255,0.862,2,-5.637,0.0505,7.13e-05,0.0444,0.103,0.446,151.611,3.0,black-metal
Living Dead,231450,False,17,Hypocrisy,End of Disclosure,0.293,0.955,10,-5.383,0.0594,7.41e-06,0.829,0.289,0.327,170.004,4.0,black-metal
End It,97685,False,30,End It,End It,0.208,0.917,6,-5.217,0.0827,5.09e-05,0.37,0.179,0.391,169.884,4.0,black-metal
Jasna Pustka,211062,True,17,Truchło Strzygi,Nad Którymi Nie Czuwa Żaden Stróż,0.0888,0.933,9,-5.682,0.0701,6.54e-06,0.0671,0.469,0.058,166.557,4.0,black-metal
Vexxagon,403373,False,21,Conan,Existential Void Guardian,0.265,0.755,11,-7.897,0.0374,3.67e-06,0.768,0.372,0.176,120.85,4.0,black-metal
Into The Pentagram,405800,False,21,Samael,Worship Him,0.311,0.729,4,-7.047,0.0346,0.000116,0.222,0.225,0.119,141.326,4.0,black-metal
"Sana Sana Sana, Cura Cura Cura",504484,False,42,Psychonaut 4,Beautyfall,0.226,0.683,2,-7.47,0.0419,0.000125,0.00143,0.0863,0.0421,139.989,4.0,black-metal
Shadows Over Transylvania,262466,False,23,Dark Funeral,In The Sign... (Re-issue + Bonus) [Deluxe Version],0.15,0.991,9,-7.704,0.117,2.91e-06,0.169,0.274,0.0352,103.041,4.0,black-metal
Trail of Sulfur,446613,False,17,Astronoid,Air,0.361,0.966,7,-7.713,0.132,6.66e-06,0.827,0.293,0.117,161.018,4.0,black-metal
Gods Hideous Creation,208281,True,15,Rose Funeral,Crucify Kill Rot,0.336,0.982,1,-5.683,0.186,4.16e-05,0.477,0.795,0.0794,134.528,4.0,black-metal
Gitt Til Odin,344466,False,19,Whoredom Rife,Whoredom Rife,0.107,0.899,9,-6.346,0.0666,1.48e-06,3.71e-05,0.389,0.0335,187.439,3.0,black-metal
Septentrion,279733,False,16,Bucovina,Septentrion,0.498,0.977,7,-3.58,0.0388,0.000145,0.00539,0.11,0.475,136.027,4.0,black-metal
Letter From Down The Road / And Other Things,171466,False,20,Della Mae,This World Oft Can Be,0.555,0.605,11,-5.843,0.0302,0.619,0.0236,0.297,0.856,110.521,4.0,bluegrass
Heyday,188773,False,25,Lonesome River Band,Heyday,0.693,0.475,4,-7.977,0.0277,0.715,0.0,0.272,0.777,138.945,4.0,bluegrass
Thanks a Lot,183253,False,12,Watkins Family Hour;Jon Brion,Vol. II,0.815,0.432,2,-8.015,0.0299,0.357,0.000227,0.0988,0.532,98.444,4.0,bluegrass
Kamu Harus Pulang,300538,False,37,Slank,Unity And Respect,0.693,0.548,2,-10.612,0.0266,0.387,4.4e-06,0.103,0.663,105.187,4.0,bluegrass
Meth Lab Zoso Sticker,221599,False,52,7Horse,Let The 7Horse Run,0.39,0.948,0,-3.408,0.159,0.144,0.00054,0.0993,0.457,79.627,4.0,bluegrass
Doug's Tune,136266,False,28,The Dillards,Back Porch Bluegrass,0.397,0.933,3,-9.578,0.0503,0.275,0.969,0.0951,0.977,135.491,4.0,bluegrass
Chicken Reel,97506,False,23,Foghorn Stringband,Devil in the Seat,0.642,0.65,2,-6.192,0.0316,0.355,0.551,0.258,0.971,132.151,4.0,bluegrass
Ain't No Love In The Heart Of The City - Single Version,233560,False,66,"Bobby ""Blue"" Bland",Dreamer,0.518,0.376,9,-18.248,0.0431,0.933,0.86,0.0976,0.744,158.089,4.0,bluegrass
I Know You Rider,500893,False,27,Greensky Bluegrass,All Access: Volume Two,0.367,0.733,7,-7.708,0.0389,0.674,0.0902,0.807,0.678,119.795,4.0,bluegrass
