duration,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,n_beats,n_bars
152,23,0.522,0.685,9,-6.041,0.032,0.84,0.912,0.22,0.966,140.201,338.0,84.0
181,35,0.594,0.614,0,-10.175,0.0553,0.00298,0.712,0.0739,0.825,159.94,475.0,119.0
171,38,0.763,0.925,11,-3.819,0.0406,0.0533,0.893,0.102,0.761,98.51,279.0,69.0
207,27,0.489,0.82,9,-4.499,0.0601,0.0102,0.0,0.165,0.464,170.027,579.0,146.0
111,38,0.843,0.896,11,-3.261,0.0712,0.104,0.371,0.0791,0.865,137.966,255.0,64.0
208,32,0.693,0.763,0,-8.5,0.0396,0.0053,0.0144,0.0949,0.379,132.662,450.0,112.0
288,32,0.591,0.177,9,-17.299,0.0811,0.926,0.00106,0.294,0.522,70.959,341.0,86.0
337,20,0.181,0.942,10,-7.231,0.0982,7.48e-06,0.714,0.112,0.133,152.13,854.0,214.0
67,40,0.854,0.4,10,-6.511,0.042,0.646,3.12e-05,0.0768,0.854,84.904,93.0,23.0
157,9,0.226,0.136,0,-14.031,0.0403,0.847,0.0865,0.0908,0.0432,137.796,307.0,101.0
290,55,0.64,0.529,5,-7.18,0.0275,0.0053,0.0919,0.12,0.259,104.023,497.0,124.0
220,44,0.603,0.63,4,-7.754,0.0323,0.00343,0.0,0.139,0.927,141.934,513.0,126.0
204,0,0.533,0.588,2,-1.121,0.0279,0.433,0.0,0.0946,0.147,85.097,284.0,70.0
178,22,0.636,0.826,3,-7.486,0.0585,0.461,0.271,0.141,0.731,102.809,304.0,76.0
211,39,0.713,0.587,7,-6.626,0.0368,0.201,0.0,0.108,0.604,85.969,301.0,75.0
309,0,0.833,0.604,8,-12.002,0.055,0.0103,0.000446,0.052,0.97,120.313,615.0,154.0
240,51,0.59,0.837,7,-5.204,0.0921,0.217,1.66e-05,0.107,0.356,130.043,506.0,126.0
176,0,0.755,0.41,8,-16.203,0.0399,0.211,0.841,0.124,0.505,148.026,433.0,107.0
216,23,0.498,0.479,5,-7.251,0.0251,0.629,0.000884,0.229,0.281,109.092,388.0,97.0
273,2,0.706,0.8,9,-9.421,0.0516,0.0332,0.037,0.0488,0.725,122.396,548.0,137.0
185,15,0.891,0.281,0,-10.173,0.0564,0.514,0.0,0.0918,0.849,134.953,401.0,100.0
226,0,0.376,0.987,11,-5.468,0.0709,1.16e-05,0.124,0.0684,0.229,140.085,514.0,129.0
143,44,0.301,0.479,8,-10.505,0.0559,0.501,0.0,0.0818,0.363,77.356,221.0,55.0
