consequent,antecedent,abs_support,%_support,confidence,lift
"LOW_ENER (-0.001, 0.562]","HIGH_ACOU (0.415, 0.996], LOW_TEMP (-0.001, 109.646], LOW_LOUD (-49.532, -9.214]",1406,9.373333333333333,0.9135802469135802,2.735816271452127
"LOW_LOUD (-49.532, -9.214]","HIGH_ACOU (0.415, 0.996], HIGH_INST (0.377, 1.0], LOW_ENER (-0.001, 0.562]",1410,9.4,0.9221713538260301,2.766514061
"LOW_ENER (-0.001, 0.562]","HIGH_ACOU (0.415, 0.996], LOW_LOUD (-49.532, -9.214], LOW_DANC (-0.001, 0.496]",1470,9.8,0.9007352941176471,2.6973506511808156
"LOW_ENER (-0.001, 0.562]","HIGH_ACOU (0.415, 0.996], LOW_LOUD (-49.532, -9.214], LOW_VALE (-0.001, 0.269]",1495,9.966666666666667,0.91102986,2.7281788575810344
